algorithm,n,time_ms,memory_mb,operations,cost
Forca Bruta,5,0.058700,0.001694,22,8.930000
Dijkstra Guloso,5,0.035900,0.002197,14,8.930000
Forca Bruta,8,0.122900,0.002884,107,9.870000
Dijkstra Guloso,8,0.036700,0.002609,21,9.870000
Forca Bruta,10,1.305900,0.012993,1345,3.220000
Dijkstra Guloso,10,0.031200,0.002151,14,3.220000
Forca Bruta,12,5.070200,0.039558,5120,3.290000
Dijkstra Guloso,12,0.035200,0.002487,5,3.290000
Dijkstra Guloso,20,0.059400,0.004150,40,5.770000
Dijkstra Guloso,50,0.094400,0.007782,207,14.380000
Dijkstra Guloso,100,0.184300,0.013062,441,16.000000
